"index";"date.time";"temperature";"sensor";"numserie";"modele";"record_min";"coord";"corr";"temp.corr"
1977;2024-05-01 20:20:49;11.6446826171875;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;11.7226122330174
1978;2024-05-01 20:50:49;11.3336547851562;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;11.4115844009861
1979;2024-05-01 21:20:49;11.06552734375;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;11.1434569595799
1980;2024-05-01 21:50:49;10.8403002929687;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;10.9182299087986
1981;2024-05-01 22:20:49;10.2611450195312;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;10.3390746353611
1982;2024-05-01 22:50:49;9.9286669921875;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;10.0065966080174
1983;2024-05-01 23:20:49;9.4138623046875;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;9.49179192051742
1984;2024-05-01 23:50:49;9.4353125;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;9.51324211582992
1985;2024-05-02 00:20:49;9.17791015625;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;9.25583977207992
1986;2024-05-02 00:50:49;9.17791015625;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;9.25583977207992
1987;2024-05-02 01:20:49;8.93123291015625;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;9.00916252598617
1988;2024-05-02 01:50:49;9.12428466796875;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;9.20221428379867
1989;2024-05-02 02:20:49;9.135009765625;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;9.21293938145492
1990;2024-05-02 02:50:49;9.18863525390625;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;9.26656486973617
1991;2024-05-02 03:20:49;9.10283447265625;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;9.18076408848617
1992;2024-05-02 03:50:49;9.1564599609375;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;9.23438957676742
1993;2024-05-02 04:20:49;9.1993603515625;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;9.27728996739242
1994;2024-05-02 04:50:49;9.23153564453125;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;9.30946526036117
1995;2024-05-02 05:20:49;9.135009765625;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;9.21293938145492
1996;2024-05-02 05:50:49;9.0706591796875;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;9.14858879551742
1997;2024-05-02 06:20:49;9.0277587890625;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;9.10568840489242
1998;2024-05-02 06:50:49;9.08138427734375;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;9.15931389317367
1999;2024-05-02 07:20:49;9.092109375;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;9.17003899082992
2000;2024-05-02 07:50:49;9.21008544921875;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;9.28801506504867
2001;2024-05-02 08:20:49;9.36023681640625;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;9.43816643223617
2002;2024-05-02 08:50:49;9.29588623046875;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;9.37381584629867
2003;2024-05-02 09:20:49;9.478212890625;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;9.55614250645492
2004;2024-05-02 09:50:49;9.7570654296875;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;9.83499504551742
2005;2024-05-02 10:20:49;9.907216796875;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;9.98514641270492
2006;2024-05-02 10:50:49;10.1860693359375;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;10.2639989517674
2007;2024-05-02 11:20:49;10.37912109375;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;10.4570507095799
2008;2024-05-02 11:50:49;10.5721728515625;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;10.6501024673924
2009;2024-05-02 12:20:49;10.8832006835937;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;10.9611302994236
2010;2024-05-02 12:50:49;11.0762524414062;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;11.1541820572361
2011;2024-05-02 13:20:49;11.2264038085938;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;11.3043334244237
2012;2024-05-02 13:50:49;11.0333520507812;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;11.1112816666111
2013;2024-05-02 14:20:49;11.280029296875;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;11.3579589127049
2014;2024-05-02 14:50:49;11.6017822265625;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;11.6797118423924
2015;2024-05-02 15:20:49;11.9020849609375;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;11.9800145767674
2016;2024-05-02 15:50:49;12.0736865234375;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;12.1516161392674
2017;2024-05-02 16:20:49;12.2023876953125;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;12.2803173111424
2018;2024-05-02 16:50:49;12.2560131835938;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;12.3339427994237
2019;2024-05-02 17:20:49;12.2560131835938;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;12.3339427994237
2020;2024-05-02 17:50:49;12.09513671875;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;12.1730663345799
2021;2024-05-02 18:20:49;12.1594873046875;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;12.2374169205174
2022;2024-05-02 18:50:49;12.0844116210938;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;12.1623412369237
2023;2024-05-02 19:20:49;12.0844116210938;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;12.1623412369237
2024;2024-05-02 19:50:49;12.0093359375;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;12.0872655533299
2025;2024-05-02 20:20:49;11.8484594726562;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;11.9263890884861
2026;2024-05-02 20:50:49;11.4409057617187;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;11.5188353775486
2027;2024-05-02 21:20:49;11.0548022460938;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;11.1327318619237
2028;2024-05-02 21:50:49;10.8617504882812;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;10.9396801041111
2029;2024-05-02 22:20:49;10.7866748046875;1;21150040;"MX2203";30;"43.6321572, 3.8619860";0.0779296158299232;10.8646044205174
